PathwayID,PathwayName,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,URL,Genes
hsa04066,HIF-1 signaling pathway,2.25E-37,72,109,5.168965474,http://www.genome.jp/kegg-bin/show_pathway?hsa04066 , CDKN1A  CDKN1B  CREBBP  CYBB  EDN1  EGF  EGFR  EIF4E  EIF4EBP1  ENO1  ENO2  EP300  EPO  ERBB2  AKT1  AKT2  ALDOB  FLT1  GAPDH  ANGPT1  ANGPT2  HIF1A  HK2  HMOX1  IFNG  IFNGR1  IGF1  IGF1R  IL6  IL6R  INS  INSR  LDHC  ARNT  LTBR  NFKB1  NOS3  NPPA  SERPINE1  PDHA1  PDHB  PDK1  PFKFB3  PFKM  PGK1  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  BCL2  RELA  RPS6KB1  SLC2A1  STAT3  ELOC  TEK  TF  TFRC  TIMP1  TLR4  VEGFA  VHL  HKDC1  CAMK2A  CAMK2G  PIK3R3
hsa04068,FoxO signaling pathway,5.63E-44,86,131,5.137180063,http://www.genome.jp/kegg-bin/show_pathway?hsa04068 , BCL2L11  CDK2  CDKN1A  CDKN1B  CDKN2B  CDKN2D  GADD45G  CHUK  FBXO32  CREBBP  MAPK14  CSNK1E  GADD45A  S1PR1  EGF  EGFR  EP300  AKT1  AKT2  FOXG1  FOXO1  FOXO3  SIRT1  GRB2  PRMT1  IGF1  IGF1R  IKBKB  FASLG  IL6  IL7R  IL10  INS  INSR  IRS1  ARAF  KRAS  SMAD3  SMAD4  MDM2  FOXO4  GADD45B  ATM  NRAS  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLK1  PRKAA1  PRKAA2  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  RAF1  RAG1  RAG2  RBL2  CCND1  BCL6  SGK1  SOD2  SOS1  BRAF  STAT3  STK4  STK11  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  USP7  CAT  PIK3R3  IRS2  TNFSF10  CCNB1  CCND2  CCNB2  ATG12  HOMER2
hsa04215,Apoptosis-multiple species,1.16E-11,21,32,5.135313355,http://www.genome.jp/kegg-bin/show_pathway?hsa04215 , BBC3  APAF1  BIRC3  XIAP  BIRC5  NGFR  PMAIP1  CYCS  MAPK8  MAPK9  MAPK10  BAK1  BAX  BCL2  BCL2L1  TNFRSF1A  CASP3  CASP7  CASP8  CASP9  BECN1
hsa05142,Chagas disease,6.03E-34,66,101,5.113522775,http://www.genome.jp/kegg-bin/show_pathway?hsa05142 , ADCY1  CHUK  MAPK14  TICAM1  ACE  AKT1  AKT2  PLCB1  FOS  GNAI3  GNAO1  GNAQ  GNAS  IFNB1  IFNG  IFNGR1  FAS  IKBKB  IL1B  IL2  FASLG  IL6  CXCL8  IL10  IL12A  IL12B  IRAK1  JUN  KNG1  SMAD2  MYD88  NFKB1  NFKBIA  SERPINE1  IRAK4  PIK3CA  PIK3R1  PIK3R2  TLR9  PPP2CA  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  RELA  BDKRB2  CCL2  MAP2K4  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TLR2  TLR4  TNFRSF1A  TRAF6  CALR  CASP8  PIK3R3  IKBKG  FADD  CFLAR  CD3E
hsa05143,African trypanosomiasis,5.23E-13,24,37,5.075830961,http://www.genome.jp/kegg-bin/show_pathway?hsa05143 , F2RL1  PLCB1  GNAQ  HBA2  HBB  APOA1  ICAM1  IFNG  FAS  IL1B  FASLG  IL6  IL10  IL12A  IL12B  IL18  KNG1  MYD88  NPPA  TLR9  PRKCA  PRKCG  SELE  VCAM1
hsa04659,Th17 cell differentiation,1.45E-35,70,108,5.071914425,http://www.genome.jp/kegg-bin/show_pathway?hsa04659 , IL17F  CHUK  MAPK14  IL23R  AHR  FOS  IL27  GATA3  TBX21  HIF1A  HSP90AA1  IFNG  IFNGR1  IKBKB  IL1B  IL1R1  IL1RAP  IL2  IL2RA  IL2RB  IL4  IL4R  IL6  IL6R  IL6ST  IL12RB1  IL17A  IRF4  JAK1  JAK2  JAK3  JUN  LCK  SMAD2  SMAD3  SMAD4  NFATC1  NFKB1  NFKBIA  IL21R  IL22  FOXP3  IL23A  PLCG1  PPP3CA  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  IL21  RARA  RELA  RORC  RXRA  STAT1  STAT3  STAT5A  STAT5B  STAT6  TGFB1  TGFBR1  TGFBR2  TYK2  ZAP70  IKBKG  RUNX1  CD3E  CD4
hsa05211,Renal cell carcinoma,9.09E-23,44,68,5.063390199,http://www.genome.jp/kegg-bin/show_pathway?hsa05211 , CDKN1A  CREBBP  CRK  CRKL  FLCN  EP300  AKT1  AKT2  ETS1  GAB1  GRB2  RAPGEF1  HGF  HIF1A  ARAF  JUN  KRAS  ARNT  MET  NRAS  PAK1  PAK3  PDGFB  PIK3CA  PIK3R1  PIK3R2  MAPK1  MAPK3  MAP2K1  BAD  PTPN11  RAF1  RAP1A  SLC2A1  SOS1  BRAF  ELOC  TGFA  TGFB1  TGFB2  TGFB3  VEGFA  VHL  PIK3R3
hsa05321,Inflammatory bowel disease,9.22E-22,42,65,5.056308534,http://www.genome.jp/kegg-bin/show_pathway?hsa05321 , IL23R  GATA3  TBX21  IFNG  IFNGR1  IL1A  IL1B  IL2  IL4  IL4R  IL5  IL6  IL10  IL12A  IL12B  IL12RB1  IL12RB2  IL17A  IL18  JUN  SMAD2  SMAD3  NFATC1  NFKB1  IL21R  IL22  FOXP3  IL23A  IL21  RELA  RORC  NOD2  STAT1  STAT3  STAT4  STAT6  TGFB1  TGFB2  TGFB3  TLR2  TLR4  TLR5
hsa01524,Platinum drug resistance,4.17E-24,47,73,5.038167832,http://www.genome.jp/kegg-bin/show_pathway?hsa01524 , CDKN1A  CDKN2A  ABCC2  ERBB2  ERCC1  AKT1  AKT2  BBC3  GSTA1  GSTM1  GSTM3  GSTP1  APAF1  BIRC3  XIAP  BIRC5  FAS  FASLG  MDM2  MAP3K5  MLH1  MSH2  MSH3  ATM  PDPK1  PIK3CA  PIK3R1  PIK3R2  PMAIP1  CYCS  MAPK1  MAPK3  BAD  BAK1  BAX  BCL2  BCL2L1  BRCA1  TOP2A  TOP2B  TP53  XPA  CASP3  CASP8  CASP9  PIK3R3  FADD
hsa05206,MicroRNAs in cancer,1.07E-50,103,161,5.006209056,http://www.genome.jp/kegg-bin/show_pathway?hsa05206 , BCL2L11  CDK6  CDKN1A  CDKN1B  CDKN2A  IGF2BP1  RASSF1  CREBBP  CRK  CRKL  CYP1B1  CYP24A1  DNMT1  DNMT3A  DNMT3B  E2F3  EFNA2  EGFR  EP300  ERBB2  ERBB3  EZH2  FGFR3  SIRT1  ABL1  GLS2  PDCD4  GLS  GRB2  HDAC1  HDAC2  HMOX1  HNRNPK  APC  TNC  IKBKB  IRS1  ITGA5  ITGB3  KRAS  RHOA  MARCKS  MCL1  MDM2  MDM4  MET  MMP9  MYC  ATM  NFKB1  NOTCH1  NOTCH2  NOTCH3  NRAS  PDGFA  PDGFB  PDGFRA  PDGFRB  ABCB1  PIK3CA  PIK3R1  PIK3R2  PLAU  PLCG1  PLCG2  DDIT4  PRKCA  PRKCG  MAPK1  MAPK3  MAPK7  MAP2K1  PTGS2  BAK1  RAF1  CCND1  BCL2  ROCK1  SHC1  BMI1  SLC7A1  BMPR2  FSCN1  SOS1  BRCA1  STAT3  ZEB1  TGFB2  THBS1  TIMP3  TNR  TP53  VEGFA  VIM  HMGA2  CASP3  PIK3R3  TP63  SOCS1  IRS2  CCND2  KIF23  CD44
hsa01522,Endocrine resistance,9.20E-30,60,95,4.942256462,http://www.genome.jp/kegg-bin/show_pathway?hsa01522 , CDK4  CDKN1A  CDKN1B  CDKN2A  CDKN2C  ADCY1  ADCY2  ADCY7  MAPK14  JAG1  HBEGF  E2F3  EGFR  ERBB2  AKT1  AKT2  ESR1  ESR2  FOS  SHC2  GNAS  GRB2  IGF1  IGF1R  ARAF  JUN  KRAS  MDM2  MMP2  MMP9  NOTCH1  NOTCH2  NOTCH3  NRAS  PIK3CA  PIK3R1  PIK3R2  DLL4  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  BAD  PTK2  BAX  RAF1  RB1  CCND1  BCL2  RPS6KB1  SHC1  SOS1  SP1  SRC  BRAF  TP53  PIK3R3
hsa05133,Pertussis,4.64E-24,48,76,4.942256462,http://www.genome.jp/kegg-bin/show_pathway?hsa05133 , NLRP3  TIRAP  MAPK14  TICAM1  FOS  LY96  GNAI3  PYCARD  IRF8  TICAM2  IL1A  IL1B  IL6  CXCL8  IL10  IL12A  IL12B  IRAK1  IRF1  IRF3  ITGA5  ITGAM  ITGB1  ITGB2  JUN  RHOA  MYD88  NFKB1  IRAK4  IL23A  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  RELA  CXCL6  CXCL5  SFTPA1  TLR4  C1S  TRAF6  C4BPA  CALML3  CASP1  CASP3  CASP7
hsa04935,Growth hormone synthesis secretion and action,1.98E-36,75,120,4.890774624,http://www.genome.jp/kegg-bin/show_pathway?hsa04935 , ADCY1  ADCY2  ADCY7  CREB1  ATF2  CREBBP  CRK  CRKL  MAPK14  CSH2  EP300  AKT1  AKT2  PLCB1  FOS  SHC2  GH1  GH2  GHR  GHRH  GHRHR  GHSR  GNAI3  GNAQ  GNAS  GRB2  GSK3B  IGF1  IGFALS  IGFBP3  IRS1  ITPR1  JAK2  JUNB  KRAS  ATF4  NRAS  GHRL  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  POU1F1  PRKCA  ADCY10  PRKCG  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K3  MAP2K6  PTK2  RAF1  MAP2K4  SHC1  SOS1  SST  SSTR1  SSTR2  SSTR3  SSTR5  STAT1  STAT3  STAT5A  STAT5B  PIK3R3  SOCS1  IRS2  SOCS2  SOCS3
hsa04625,C-type lectin receptor signaling pathway,9.65E-32,65,104,4.890774624,http://www.genome.jp/kegg-bin/show_pathway?hsa04625 , MALT1  NLRP3  CHUK  MAPK14  EGR2  EGR3  AKT1  AKT2  CLEC4E  PYCARD  CD209  CLEC4D  IKBKB  IL1B  IL2  IL6  IL10  IL12A  IL12B  IRF1  ITPR1  JUN  KRAS  RHOA  MDM2  NFATC1  NFKB1  NFKB2  NFKBIA  NRAS  PAK1  CLEC1B  IL23A  PIK3CA  PIK3R1  PIK3R2  IL17D  PLCG2  PPP3CA  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  PTGS2  PTPN11  RAF1  RELA  RELB  BCL3  CCL17  CCL22  CLEC7A  SRC  STAT1  STAT2  SYK  CALML3  CASP1  CASP8  PIK3R3  IKBKG  BCL10  MAPKAPK2
hsa04936,Alcoholic liver disease,2.40E-42,88,141,4.883837355,http://www.genome.jp/kegg-bin/show_pathway?hsa04936 , CAMKK2  PPARGC1A  TIRAP  CHUK  ADH1A  ADH1B  ADH1C  ADH4  ADH5  ADH7  CPT1A  MAPK14  TICAM1  CTNNB1  CYP2E1  AKT1  AKT2  FABP1  ALDH2  FASN  FOXO1  FOXO3  LPIN1  SIRT1  LY96  IL17RA  TBK1  CXCL1  CXCL2  GSK3B  ACADM  IFNA1  IFNA5  IFNA17  IFNB1  FAS  IKBKB  IL1B  FASLG  IL6  CXCL8  IL12A  IL12B  IL17A  IRAK1  IRF3  LBP  MAP3K5  MYD88  NFKB1  NFKBIA  ALDH7A1  NOX4  ACOX1  ADIPOR1  IRAK4  LEF1  PPARA  PRKAA1  PRKAA2  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K3  MAP2K6  CCND1  RELA  SCD  MAP2K4  SREBF1  MAP3K7  TCF7  TCF7L2  TLR4  TNFRSF1A  TRAF3  TRAF6  C5AR1  SCD5  CASP3  CASP8  IL17RC  IKBKG  RIPK1  FADD  CD14  ADIPOQ
hsa05140,Leishmaniasis,5.22E-23,47,76,4.839292786,http://www.genome.jp/kegg-bin/show_pathway?hsa05140 , CR1  MAPK14  CYBA  CYBB  EEF1A1  ELK1  FCGR1A  FCGR2A  FCGR3A  FCGR3B  FOS  IFNG  IFNGR1  IL1A  IL1B  IL4  IL10  IL12A  IL12B  IRAK1  ITGA4  ITGAM  ITGB1  ITGB2  JAK1  JAK2  JUN  MYD88  NCF2  NFKB1  NFKBIA  IRAK4  MAPK1  MAPK3  MAPK11  PTGS2  PTPN6  RELA  MARCKSL1  NCF1  STAT1  MAP3K7  TGFB1  TGFB2  TGFB3  TLR2  TLR4
hsa04210,Apoptosis,4.85E-40,84,136,4.833236099,http://www.genome.jp/kegg-bin/show_pathway?hsa04210 , BCL2L11  TUBA1B  GADD45G  CHUK  PARP1  CTSD  CTSK  CTSS  CTSZ  GADD45A  DFFA  EIF2S1  AKT1  AKT2  ERN1  FOS  BBC3  GZMB  APAF1  BIRC3  XIAP  BIRC5  FAS  IKBKB  FASLG  IL3  IL3RA  ITPR1  JUN  KRAS  LMNA  LMNB1  MCL1  MAP3K5  GADD45B  ATF4  ATM  NFKB1  NFKBIA  NGF  NRAS  NTRK1  PDPK1  PIK3CA  PIK3R1  PIK3R2  PMAIP1  CYCS  PRF1  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  BAD  BAK1  BAX  RAF1  BCL2  BCL2A1  RELA  BCL2L1  ACTB  TNFRSF1A  TP53  TRAF1  TRAF2  CAPN1  CASP2  CASP3  CASP7  CASP8  CASP9  CASP10  PIK3R3  IKBKG  RIPK1  TNFSF10  FADD  TNFRSF10B  TNFRSF10A  CFLAR  AIFM1
hsa05418,Fluid shear stress and atherosclerosis,2.38E-40,85,138,4.819893832,http://www.genome.jp/kegg-bin/show_pathway?hsa05418 , CDH5  CHUK  MAPK14  CTNNB1  CYBA  NQO1  DUSP1  EDN1  AKT1  AKT2  FOS  NOX1  GSTA1  GSTM1  GSTM3  GSTP1  HMOX1  HSP90AA1  ICAM1  IFNG  IKBKB  IL1A  IL1B  IL1R1  ITGA2B  ITGB3  JUN  KDR  RHOA  MAP3K5  MMP2  MMP9  ASS1  NCF2  NFE2L2  NFKB1  NOS3  NPPC  PDGFA  PDGFB  PECAM1  PIK3CA  PIK3R1  PIK3R2  PLAT  PRKAA1  PRKAA2  PRKCZ  MAPK7  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K6  PTK2  RAC2  TRPV4  BCL2  RELA  ACTB  CCL2  SDC1  SDC2  SDC4  SELE  MAP2K4  BMP4  NCF1  BMPR1A  BMPR2  SRC  MAP3K7  THBD  TNFRSF1A  TP53  HSP90B1  TXN  VCAM1  VEGFA  IL1R2  CALML3  PIK3R3  IKBKG  CAV1  ARHGEF2
hsa04930,Type II diabetes mellitus,5.77E-14,28,46,4.763189199,http://www.genome.jp/kegg-bin/show_pathway?hsa04930 , GCK  HK2  IKBKB  INS  INSR  PDX1  IRS1  KCNJ11  MAFA  PIK3CA  PIK3R1  PIK3R2  PKM  PRKCZ  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  SLC2A2  ABCC8  CACNA1A  HKDC1  PIK3R3  SOCS1  IRS2  SOCS2  SOCS3
hsa04614,Renin-angiotensin system,1.42E-07,14,23,4.763189199,http://www.genome.jp/kegg-bin/show_pathway?hsa04614 , CPA3  CTSG  ACE  AGT  AGTR1  AGTR2  ENPEP  ANPEP  KLK1  MAS1  MME  CTSA  ACE2  REN
hsa04979,Cholesterol metabolism,2.71E-15,31,51,4.756518066,http://www.genome.jp/kegg-bin/show_pathway?hsa04979 , CETP  CYP7A1  CYP27A1  ABCA1  PCSK9  ANGPTL3  MYLIP  APOA1  APOA2  APOA4  APOB  APOC1  APOC2  APOC3  APOE  LCAT  LDLR  LIPC  LPA  LPL  LRP1  LRP2  LRPAP1  NPC1  ANGPTL4  PLTP  SOAT1  STAR  TSPO  SOAT2  CD36
hsa05135,Yersinia infection,9.71E-38,82,137,4.683719932,http://www.genome.jp/kegg-bin/show_pathway?hsa05135 , ACTR2  VAV3  NLRP3  CHUK  CRK  CRKL  MAPK14  TICAM1  AKT1  AKT2  PTK2B  FCGR2A  FN1  FOS  GNAQ  PYCARD  TBK1  GSK3B  IFNB1  IKBKB  IL1B  IL2  IL6  CXCL8  IL10  IL18  IRAK1  IRF3  ITGA4  ITGA5  ITGB1  JUN  RHOA  LCK  LIMK1  MEFV  MYD88  NFATC1  NFKB1  NFKBIA  IRAK4  PIK3CA  PIK3R1  PIK3R2  PLCG1  PKN1  PKN2  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K3  MAP2K6  PTK2  PXN  NLRC4  RAC2  RELA  ACTB  ROCK1  CCL2  MAP2K4  SRC  MAP3K7  TLR4  TRAF2  TRAF6  WAS  ZAP70  CASP1  PIK3R3  IKBKG  ARHGEF7  SKAP2  ARHGEF1  CD4  CD8A  CD8B  ROCK2
hsa05146,Amoebiasis,2.29E-28,61,102,4.679800032,http://www.genome.jp/kegg-bin/show_pathway?hsa05146 , ADCY1  COL1A1  COL1A2  COL3A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  CSF2  CTSG  PLCB1  FN1  GNAQ  GNAS  LAMA1  CXCL1  CXCL2  HSPB1  IFNG  IL1B  IL1R1  IL6  CXCL8  IL10  IL12A  IL12B  ITGAM  ITGB2  ARG1  LAMA3  LAMC2  NFKB1  PRDX1  SERPINB6  SERPINB9  SERPINB10  PIK3CA  PIK3R1  PIK3R2  PRKCA  PRKCG  PTK2  RELA  SERPINB3  TGFB1  TGFB2  TGFB3  TLR2  TLR4  VCL  IL1R2  RAB7A  CASP3  PIK3R3  CD1A  CD1B  CD1C  CD1D  CD14
hsa04722,Neurotrophin signaling pathway,1.00E-32,71,119,4.668840313,http://www.genome.jp/kegg-bin/show_pathway?hsa04722 , IRAK3  CRK  CRKL  MAPK14  AKT1  AKT2  FOXO3  ABL1  GAB1  SHC2  GRB2  RAPGEF1  GSK3B  IKBKB  FASLG  IRAK1  IRS1  JUN  KRAS  RHOA  MAP3K5  ATF4  NFKB1  NFKBIA  NGF  NGFR  NRAS  NTF3  NTF4  NTRK1  NTRK2  NTRK3  IRAK4  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  MAPK1  MAPK3  MAPK7  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  PSEN1  PSEN2  BAD  PTPN11  BAX  RAF1  RAP1A  BCL2  RELA  BDNF  SHC1  SOS1  BRAF  TP53  TP73  TRAF6  CALML3  CAMK4  CAMK2A  CAMK2G  PIK3R3  RIPK2  MAPKAPK2  MAGED1
hsa05134,Legionellosis,2.65E-16,34,57,4.667686659,http://www.genome.jp/kegg-bin/show_pathway?hsa05134 , CR1  EEF1A1  PYCARD  CXCL1  CXCL2  APAF1  HSPA8  HSPD1  IL1B  IL6  CXCL8  IL12A  IL12B  IL18  ITGAM  ITGB2  ARF1  MYD88  NFKB1  NFKB2  NFKBIA  CYCS  SAR1A  NLRC4  RELA  TLR2  TLR4  TLR5  CASP1  CASP3  CASP7  CASP8  CASP9  CD14
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1.11E-24,53,89,4.659974024,http://www.genome.jp/kegg-bin/show_pathway?hsa05235 , TIRAP  CHUK  MAPK14  TICAM1  EGF  EGFR  AKT1  AKT2  FOS  ALK  CD274  HIF1A  IFNG  IFNGR1  TICAM2  IKBKB  JAK1  JAK2  JUN  KRAS  LCK  MYD88  NFATC1  NFKB1  NFKBIA  NRAS  PIK3CA  PIK3R1  PIK3R2  PLCG1  TLR9  PPP3CA  MAPK1  MAPK3  MAPK11  MAP2K1  MAP2K3  MAP2K6  PTPN6  PTPN11  RAF1  RELA  RPS6KB1  STAT1  STAT3  TLR2  TLR4  TRAF6  ZAP70  PIK3R3  IKBKG  CD3E  CD4
hsa04370,VEGF signaling pathway,1.22E-16,35,59,4.642091168,http://www.genome.jp/kegg-bin/show_pathway?hsa04370 , MAPK14  AKT1  AKT2  SHC2  HSPB1  KDR  KRAS  NOS3  NRAS  PIK3CA  PIK3R1  PIK3R2  PLA2G4A  PLCG1  PLCG2  PPP3CA  PRKCA  PRKCG  MAPK1  MAPK3  MAPK11  MAP2K1  BAD  PTGS2  PTK2  PXN  RAC2  RAF1  SRC  VEGFA  MAPKAPK3  CASP9  PIK3R3  SPHK1  MAPKAPK2
hsa04660,T cell receptor signaling pathway,4.78E-28,61,103,4.63436508,http://www.genome.jp/kegg-bin/show_pathway?hsa04660 , CDK4  VAV3  MALT1  CHUK  MAP3K8  MAPK14  CSF2  CTLA4  AKT1  AKT2  FOS  GRB2  GSK3B  ICOS  IFNG  IKBKB  IL2  IL4  IL5  IL10  ITK  JUN  KRAS  RHOA  LCK  NCK1  NFATC1  NFKB1  NFKBIA  NRAS  PAK1  PAK3  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLCG1  PPP3CA  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  PTPN6  RAF1  RELA  SOS1  MAP3K7  TEC  ZAP70  PIK3R3  IKBKG  BCL10  CD3E  CD4  CD8A  CD8B  CD28  CD40LG
hsa05145,Toxoplasmosis,4.69E-30,66,112,4.611301788,http://www.genome.jp/kegg-bin/show_pathway?hsa05145 , PPIF  CHUK  CCR5  MAPK14  AKT1  AKT2  LY96  GNAI3  GNAO1  LAMA1  BIRC3  XIAP  HSPA8  IFNG  IFNGR1  IKBKB  IL10  IL10RA  IL10RB  IL12A  IL12B  IRAK1  ITGA6  ITGB1  JAK1  JAK2  LAMA3  LAMC2  LDLR  CIITA  MYD88  NFKB1  NFKBIA  IRAK4  PDPK1  PIK3CG  CYCS  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K3  MAP2K6  BAD  BCL2  RELA  BCL2L1  STAT1  STAT3  MAP3K7  TGFB1  TGFB2  TGFB3  TLR2  TLR4  TNFRSF1A  TRAF6  TYK2  CASP3  CASP8  CASP9  IKBKG  SOCS1  CD40
hsa04062,Chemokine signaling pathway,1.26E-49,112,191,4.588622055,http://www.genome.jp/kegg-bin/show_pathway?hsa04062 , CCL26  VAV3  CXCL13  CXCR6  ADCY1  ADCY2  ADCY7  CHUK  CCR1  CCR3  CCR4  CCR5  CCR6  CCR7  CCR8  CRK  CRKL  CX3CR1  GRK2  GRK3  AKT1  AKT2  PTK2B  FGR  FOXO3  PLCB1  SHC2  GNAI3  GNAQ  CCR10  XCR1  CXCR3  GRK5  GRK6  GRB2  CXCL1  CXCL2  GSK3A  GSK3B  HCK  IKBKB  CXCL8  CXCR2  CXCL10  ITK  JAK2  JAK3  KRAS  RHOA  LYN  CXCL9  NFKB1  NFKBIA  NRAS  PAK1  PF4  PF4V1  PIK3CA  PIK3CG  PIK3R1  PIK3R2  PLCG1  PLCG2  PPBP  PRKCZ  MAPK1  MAPK3  MAP2K1  CCL28  BAD  PTK2  CXCL16  PXN  RAC2  RAF1  RAP1A  RELA  ROCK1  CCL1  CCL2  CCL7  CCL8  CCL11  CCL13  CCL17  CCL19  CCL20  CCL21  CCL22  CCL24  CXCL6  CXCL11  CXCL5  XCL1  CX3CL1  CXCL12  CXCR5  SHC1  NCF1  SOS1  SRC  BRAF  STAT1  STAT2  STAT3  STAT5B  CCR2  WAS  CXCR4  PIK3R3  IKBKG  ROCK2
hsa05200,Pathways in cancer,1.15E-138,310,530,4.577026818,http://www.genome.jp/kegg-bin/show_pathway?hsa05200 , BCL2L11  CDK2  CDK4  CDK6  CDKN1A  CDKN1B  CDKN2A  CDKN2B  CEBPA  ADCY1  ADCY2  GADD45G  RALBP1  RASSF1  ADCY7  TXNRD3  CHUK  CKS1B  CKS2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  CREBBP  CRK  CRKL  CSF1R  CSF2RA  CSF3R  IL23R  CTNNA1  CTNNB1  DAPK1  DCC  DDB2  GADD45A  NQO1  JAG1  AGT  AGTR1  DVL1  E2F3  LPAR1  EDN1  EDNRA  EDNRB  EGF  EGFR  ELK1  EP300  EPO  EPOR  ERBB2  AKT1  AKT2  ESR1  ESR2  ETS1  F2  F2R  FGF1  FGF2  FGF4  FGF7  FGF9  FGF10  FGFR1  FGFR3  FGFR2  FGFR4  FOXO1  FLT3  PLCB1  FLT4  FN1  FOS  ALK  ABL1  FGF21  BBC3  GLI1  GLI2  GNAI3  GNAQ  GNAS  LAMA1  GRB2  GSK3B  GSTA1  GSTM1  GSTM3  GSTP1  HDAC1  HDAC2  HGF  HIF1A  HMOX1  APAF1  APC  HES1  BIRC3  XIAP  BIRC5  HSP90AA1  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNG  IFNGR1  IGF1  IGF1R  IGF2  KLK3  FAS  IKBKB  IL2  IL2RA  FASLG  IL2RB  IL3  IL3RA  IL4  IL4R  IL5  IL5RA  IL6  IL6R  IL6ST  IL7  IL7R  CXCL8  IL12A  IL12B  IL12RB1  IL12RB2  IL15  IL15RA  ITGA6  AR  ITGA2  ITGA2B  ITGB1  ARAF  JAK1  JAK2  JAK3  JUN  JUP  KIT  KNG1  KRAS  RHOA  LAMA3  LAMC2  LRP5  ARNT  SMAD2  SMAD3  SMAD4  MDM2  MET  KITLG  MITF  MLH1  MMP1  MMP2  MMP9  MSH2  MSH3  MYC  GADD45B  NFE2L2  NFKB1  NFKB2  NFKBIA  NOTCH1  NOTCH2  NOTCH3  NRAS  NTRK1  LEF1  PDGFA  PDGFB  PDGFRA  IL23A  PDGFRB  PGF  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PLD1  PLD2  PMAIP1  PML  CYCS  DLL4  PPARD  PPARG  PRKCA  PRKCG  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  BAD  PTGER1  PTGER2  PTGER3  PTGER4  PTGS2  PTK2  BAK1  BAX  RAC2  RAD51  RAF1  RALA  RARA  RARB  RB1  CCND1  BCL2  RELA  RET  BCL2L1  ROCK1  BCR  RPS6KB1  BDKRB1  BDKRB2  RXRA  CXCL12  HHIP  SHH  BMP2  SLC2A1  BMP4  SOS1  SP1  SPI1  BRAF  BRCA2  STAT1  STAT2  STAT3  STAT4  STAT5A  STAT5B  STAT6  STK4  ELOC  TCF7  TCF7L2  TERT  TGFA  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TP53  TPR  HSP90B1  TRAF1  TRAF2  TRAF3  TRAF5  TRAF6  TXNRD1  VEGFA  VEGFB  VEGFC  VHL  WNT1  WNT5A  WNT10B  WNT11  CXCR4  NCOA4  WNT10A  FGF23  CALML3  CAMK2A  CAMK2G  CASP3  CASP7  CASP8  CASP9  PIK3R3  IKBKG  RUNX1  RUNX1T1  CBL  FADD  CCNA2  CCND2  CCND3  F2RL3  ARHGEF1  ROCK2  KEAP1  FGF19
hsa04672,Intestinal immune network for IgA production,2.60E-13,28,48,4.564722982,http://www.genome.jp/kegg-bin/show_pathway?hsa04672 , ICOSLG  TNFSF13B  TNFRSF13C  TNFRSF13B  CCR10  ICOS  IL2  IL4  IL5  IL6  IL10  IL15  IL15RA  ITGA4  LTBR  PIGR  CCL28  AICDA  TNFRSF17  CXCL12  TGFB1  CXCR4  MADCAM1  TNFSF13  CD28  CD80  CD86  CD40
